GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US18145	"Shelby County, Indiana"	41904	1771	1333	223	215	0
US18147	"Spencer County, Indiana"	19329	583	406	92	46	39
US18149	"Starke County, Indiana"	21656	657	313	281	63	0
US18151	"Steuben County, Indiana"	32572	1279	785	324	81	89
US18153	"Sullivan County, Indiana"	19672	226	134	61	31	0
US18155	"Switzerland County, Indiana"	10035	444	80	236	56	72
US18157	"Tippecanoe County, Indiana"	180237	29280	11087	6236	10698	1259
US18159	"Tipton County, Indiana"	14358	340	265	75	0	0
US18161	"Union County, Indiana"	6661	168	45	20	103	0
US18163	"Vanderburgh County, Indiana"	170341	6783	3251	1372	1697	463
US18165	"Vermillion County, Indiana"	14709	316	83	119	35	79
US18167	"Vigo County, Indiana"	101290	4629	1668	1331	1012	618
US18169	"Wabash County, Indiana"	29798	1011	686	210	59	56
US18171	"Warren County, Indiana"	7780	66	43	8	9	6
US18173	"Warrick County, Indiana"	58775	2471	999	579	837	56
US18175	"Washington County, Indiana"	26245	583	267	223	78	15
US18177	"Wayne County, Indiana"	62484	3310	1360	1312	486	152
US18179	"Wells County, Indiana"	26301	738	340	353	40	5
US18181	"White County, Indiana"	22659	1779	1514	244	21	0
US18183	"Whitley County, Indiana"	31689	1258	230	785	104	139
US19001	"Adair County, Iowa"	6699	214	100	78	36	0
US19003	"Adams County, Iowa"	3451	52	49	3	0	0
US19005	"Allamakee County, Iowa"	12865	1452	768	511	26	147
US19007	"Appanoose County, Iowa"	11779	345	33	254	54	4
US19009	"Audubon County, Iowa"	5241	73	31	27	15	0
US19011	"Benton County, Iowa"	24061	680	367	301	10	2
US19013	"Black Hawk County, Iowa"	123997	11468	4081	5087	1578	722
US19015	"Boone County, Iowa"	24849	636	508	121	1	6
US19017	"Bremer County, Iowa"	23399	594	169	222	141	62
US19019	"Buchanan County, Iowa"	19643	648	212	407	0	29
US19021	"Buena Vista County, Iowa"	18561	6040	4146	61	1789	44
US19023	"Butler County, Iowa"	13836	233	85	110	36	2
US19025	"Calhoun County, Iowa"	9177	148	66	30	18	34
US19027	"Carroll County, Iowa"	18975	461	397	29	24	11
US19029	"Cass County, Iowa"	12426	325	240	43	42	0
US19031	"Cedar County, Iowa"	17535	304	199	46	20	39
US19033	"Cerro Gordo County, Iowa"	40528	1528	952	481	95	0
US19035	"Cherokee County, Iowa"	10689	293	210	51	27	5
US19037	"Chickasaw County, Iowa"	11303	660	304	337	12	7
US19039	"Clarke County, Iowa"	8686	1061	962	85	14	0
US19041	"Clay County, Iowa"	15153	562	380	64	101	17
US19043	"Clayton County, Iowa"	16676	1006	335	431	45	195
US19045	"Clinton County, Iowa"	44101	817	402	157	196	62
US19047	"Crawford County, Iowa"	15921	4847	4080	79	335	353
US19049	"Dallas County, Iowa"	80339	8895	3728	2297	1978	892
US19051	"Davis County, Iowa"	8115	1618	33	1567	10	8
US19053	"Decatur County, Iowa"	7482	444	111	303	22	8
US19055	"Delaware County, Iowa"	16054	356	195	118	32	11
US19057	"Des Moines County, Iowa"	37089	1217	642	332	195	48
US19059	"Dickinson County, Iowa"	16335	494	206	122	147	19
US19061	"Dubuque County, Iowa"	90864	3872	1805	787	925	355
US19063	"Emmet County, Iowa"	8932	727	663	19	29	16
US19065	"Fayette County, Iowa"	18730	595	331	206	24	34
US19067	"Floyd County, Iowa"	14920	1250	411	581	196	62
US19069	"Franklin County, Iowa"	9558	1037	974	57	6	0
US19071	"Fremont County, Iowa"	6552	203	154	42	5	2
US19073	"Greene County, Iowa"	8433	336	206	39	46	45
US19075	"Grundy County, Iowa"	11636	280	153	107	20	0
US19077	"Guthrie County, Iowa"	10105	269	188	31	50	0
US19079	"Hamilton County, Iowa"	14079	1124	748	75	269	32
US19081	"Hancock County, Iowa"	10196	359	303	43	9	4
US19083	"Hardin County, Iowa"	16220	616	438	127	4	47
US19085	"Harrison County, Iowa"	13267	179	78	48	51	2
US19087	"Henry County, Iowa"	18832	1094	556	85	388	65
US19089	"Howard County, Iowa"	8598	354	49	274	30	1
US19091	"Humboldt County, Iowa"	8983	433	363	43	23	4
US19093	"Ida County, Iowa"	6508	115	78	8	19	10
US19095	"Iowa County, Iowa"	15241	471	217	210	42	2
US19097	"Jackson County, Iowa"	18243	235	120	64	51	0
US19099	"Jasper County, Iowa"	34806	1107	507	337	131	132
US19101	"Jefferson County, Iowa"	17349	1632	449	693	310	180
US19103	"Johnson County, Iowa"	139733	21501	5630	5988	6194	3689
US19105	"Jones County, Iowa"	19525	449	254	57	138	0
US19107	"Keokuk County, Iowa"	9570	148	93	35	18	2
US19109	"Kossuth County, Iowa"	14101	330	213	71	37	9
US19111	"Lee County, Iowa"	32176	785	638	70	54	23
US19113	"Linn County, Iowa"	209751	12234	4030	3579	2547	2078
US19115	"Louisa County, Iowa"	10545	1879	1479	58	315	27
US19117	"Lucas County, Iowa"	8076	419	134	285	0	0
US19119	"Lyon County, Iowa"	10907	351	236	89	26	0
US19121	"Madison County, Iowa"	15094	477	190	156	131	0
US19123	"Mahaska County, Iowa"	20693	543	157	79	301	6
US19125	"Marion County, Iowa"	31303	929	448	244	213	24
US19127	"Marshall County, Iowa"	37305	8447	6964	165	1183	135
US19129	"Mills County, Iowa"	14216	393	228	116	45	4
US19131	"Mitchell County, Iowa"	10001	581	143	399	39	0
US19133	"Monona County, Iowa"	8279	72	38	18	0	16
US19135	"Monroe County, Iowa"	7369	201	10	191	0	0
US19137	"Montgomery County, Iowa"	9449	346	299	44	0	3
US19139	"Muscatine County, Iowa"	40159	5451	4654	343	248	206
US19141	"O'Brien County, Iowa"	12970	686	514	55	97	20
US19143	"Osceola County, Iowa"	5691	453	414	35	4	0
US19145	"Page County, Iowa"	14485	400	245	18	92	45
US19147	"Palo Alto County, Iowa"	8397	323	177	113	14	19
US19149	"Plymouth County, Iowa"	23519	1273	981	172	101	19
US19151	"Pocahontas County, Iowa"	6436	356	200	41	113	2
US19153	"Polk County, Iowa"	445363	59195	25477	12196	13748	7774
US19155	"Pottawattamie County, Iowa"	87716	5934	4727	424	702	81
US19157	"Poweshiek County, Iowa"	17489	858	441	161	214	42
US19159	"Ringgold County, Iowa"	4668	171	86	42	42	1
US19161	"Sac County, Iowa"	9222	299	206	93	0	0
US19163	"Scott County, Iowa"	161351	10635	5120	2426	2540	549
US19165	"Shelby County, Iowa"	11021	321	269	32	20	0
US19167	"Sioux County, Iowa"	32270	2921	2593	144	154	30
US19169	"Story County, Iowa"	92491	10092	1803	2059	5813	417
US19171	"Tama County, Iowa"	15946	1909	1176	115	4	614
US19173	"Taylor County, Iowa"	5825	416	391	8	17	0
US19175	"Union County, Iowa"	11668	616	193	213	173	37
US19177	"Van Buren County, Iowa"	6734	434	52	380	2	0
US19179	"Wapello County, Iowa"	32906	3911	2875	336	348	352
US19181	"Warren County, Iowa"	47072	1136	632	418	86	0
US19183	"Washington County, Iowa"	20609	1806	920	742	144	0
US19185	"Wayne County, Iowa"	5968	624	61	514	14	35
US19187	"Webster County, Iowa"	34420	1391	911	115	210	155
US19189	"Winnebago County, Iowa"	9969	481	265	85	131	0
US19191	"Winneshiek County, Iowa"	19409	680	333	219	74	54
US19193	"Woodbury County, Iowa"	95200	15527	11680	655	2414	778
US19195	"Worth County, Iowa"	7033	90	29	35	23	3
US19197	"Wright County, Iowa"	11964	1175	1068	22	85	0
US20001	"Allen County, Kansas"	11834	285	138	39	103	5
US20003	"Anderson County, Kansas"	7357	164	31	131	2	0
US20005	"Atchison County, Kansas"	15349	200	67	78	55	0
US20007	"Barber County, Kansas"	4311	222	115	32	75	0
US20009	"Barton County, Kansas"	24840	2622	2403	133	74	12
US20011	"Bourbon County, Kansas"	13585	227	27	119	81	0
US20013	"Brown County, Kansas"	9005	186	61	46	36	43
US20015	"Butler County, Kansas"	62731	2519	1316	487	518	198
US20017	"Chase County, Kansas"	2516	87	63	11	13	0
US20019	"Chautauqua County, Kansas"	3131	34	16	7	0	11
US20021	"Cherokee County, Kansas"	19069	398	210	82	81	25
US20023	"Cheyenne County, Kansas"	2518	208	172	36	0	0
US20025	"Clark County, Kansas"	1869	99	69	15	15	0
US20027	"Clay County, Kansas"	7577	170	39	76	46	9
US20029	"Cloud County, Kansas"	8327	306	252	51	0	3
US20031	"Coffey County, Kansas"	7819	80	68	3	7	2
US20033	"Comanche County, Kansas"	1673	53	51	2	0	0
US20035	"Cowley County, Kansas"	33161	2207	1683	142	339	43
US20037	"Crawford County, Kansas"	36637	2113	1225	291	563	34
US20039	"Decatur County, Kansas"	2698	120	106	7	7	0
US20041	"Dickinson County, Kansas"	17684	449	242	139	68	0
US20043	"Doniphan County, Kansas"	7308	136	74	31	5	26
US20045	"Douglas County, Kansas"	114197	11705	4017	2664	4067	957
US20047	"Edwards County, Kansas"	2695	523	472	27	24	0
US20049	"Elk County, Kansas"	2397	85	66	10	9	0
US20051	"Ellis County, Kansas"	27049	1762	859	468	359	76
US20053	"Ellsworth County, Kansas"	5906	204	135	36	33	0
US20055	"Finney County, Kansas"	33480	15199	12954	515	1219	511
US20057	"Ford County, Kansas"	31094	16299	15361	264	451	223
US20059	"Franklin County, Kansas"	24024	482	366	64	24	28
US20061	"Geary County, Kansas"	29921	4746	2756	593	1005	392
US20063	"Gove County, Kansas"	2487	65	51	7	7	0
US20065	"Graham County, Kansas"	2400	58	13	10	29	6
US20067	"Grant County, Kansas"	6876	2522	2427	82	13	0
US20069	"Gray County, Kansas"	5586	1134	771	362	0	1
US20071	"Greeley County, Kansas"	1108	255	235	20	0	0
US20073	"Greenwood County, Kansas"	5784	82	45	19	18	0
US20075	"Hamilton County, Kansas"	2492	663	631	32	0	0
US20077	"Harper County, Kansas"	5210	288	243	34	0	11
US20079	"Harvey County, Kansas"	32364	1934	1430	271	179	54
US20081	"Haskell County, Kansas"	3746	1436	956	473	3	4
US20083	"Hodgeman County, Kansas"	1756	149	102	20	27	0
US20085	"Jackson County, Kansas"	12397	390	131	72	25	162
US20087	"Jefferson County, Kansas"	17900	293	177	107	3	6
US20089	"Jewell County, Kansas"	2736	38	28	10	0	0
US20091	"Johnson County, Kansas"	553561	65833	27407	15112	16276	7038
US20093	"Kearny County, Kansas"	3595	869	699	155	15	0
US20095	"Kingman County, Kansas"	6957	249	129	117	2	1
US20097	"Kiowa County, Kansas"	2338	178	69	102	4	3
US20099	"Labette County, Kansas"	18795	690	163	516	10	1
US20101	"Lane County, Kansas"	1461	87	65	2	20	0
US20103	"Leavenworth County, Kansas"	75540	3565	1990	642	757	176
US20105	"Lincoln County, Kansas"	2899	70	66	4	0	0
US20107	"Linn County, Kansas"	9136	78	23	16	28	11
US20109	"Logan County, Kansas"	2608	74	36	34	0	4
US20111	"Lyon County, Kansas"	31289	5608	4767	150	540	151
US20113	"McPherson County, Kansas"	26958	1023	699	284	34	6
US20115	"Marion County, Kansas"	11356	312	155	73	81	3
US20117	"Marshall County, Kansas"	9132	278	100	157	21	0
US20119	"Meade County, Kansas"	3917	830	655	151	24	0
US20121	"Miami County, Kansas"	31514	657	367	128	152	10
US20123	"Mitchell County, Kansas"	5741	112	65	41	4	2
US20125	"Montgomery County, Kansas"	30475	1293	1033	96	90	74
US20127	"Morris County, Kansas"	5249	198	144	28	26	0
US20129	"Morton County, Kansas"	2622	562	444	112	6	0
US20131	"Nemaha County, Kansas"	9376	208	131	71	6	0
US20133	"Neosho County, Kansas"	15001	498	420	50	18	10
US20135	"Ness County, Kansas"	2687	298	268	29	0	1
US20137	"Norton County, Kansas"	5108	147	128	4	15	0
US20139	"Osage County, Kansas"	14998	310	155	131	15	9
US20141	"Osborne County, Kansas"	3323	82	38	20	4	20
US20143	"Ottawa County, Kansas"	5522	104	87	16	0	1
US20145	"Pawnee County, Kansas"	6308	176	131	32	4	9
US20147	"Phillips County, Kansas"	5033	121	48	37	36	0
US20149	"Pottawatomie County, Kansas"	21985	1012	742	139	121	10
US20151	"Pratt County, Kansas"	8708	642	558	74	10	0
US20153	"Rawlins County, Kansas"	2362	184	138	18	0	28
US20155	"Reno County, Kansas"	59224	3906	2214	1457	162	73
US20157	"Republic County, Kansas"	4416	73	35	20	0	18
US20159	"Rice County, Kansas"	9075	688	541	51	71	25
US20161	"Riley County, Kansas"	70844	7955	3154	1759	2421	621
US20163	"Rooks County, Kansas"	4730	69	39	13	10	7
US20165	"Rush County, Kansas"	2837	63	2	51	10	0
US20167	"Russell County, Kansas"	6549	274	165	94	14	1
US20169	"Saline County, Kansas"	51210	5054	3557	563	877	57
US20171	"Scott County, Kansas"	4578	622	548	71	3	0
US20173	"Sedgwick County, Kansas"	477154	70297	46377	5283	15339	3298
US20175	"Seward County, Kansas"	20333	11985	10943	252	413	377
US20177	"Shawnee County, Kansas"	166629	13785	10804	1292	1534	155
US20179	"Sheridan County, Kansas"	2367	142	99	31	0	12
US20181	"Sherman County, Kansas"	5543	632	472	102	52	6
US20183	"Smith County, Kansas"	3439	41	9	25	5	2
US20185	"Stafford County, Kansas"	3920	377	348	9	20	0
US20187	"Stanton County, Kansas"	1901	665	648	4	13	0
US20189	"Stevens County, Kansas"	5184	1795	1572	205	18	0
US20191	"Sumner County, Kansas"	21720	538	337	83	78	40
US20193	"Thomas County, Kansas"	7247	377	273	29	75	0
US20195	"Trego County, Kansas"	2736	14	14	0	0	0
US20197	"Wabaunsee County, Kansas"	6483	127	52	25	26	24
US20199	"Wallace County, Kansas"	1471	60	52	8	0	0
US20201	"Washington County, Kansas"	5127	165	136	27	2	0
US20203	"Wichita County, Kansas"	2016	539	525	0	14	0
US20205	"Wilson County, Kansas"	8103	117	55	50	8	4
US20207	"Woodson County, Kansas"	2971	30	21	6	0	3
US20209	"Wyandotte County, Kansas"	151574	42653	33953	2367	5266	1067
US21001	"Adair County, Kentucky"	18249	482	297	68	93	24
US21003	"Allen County, Kentucky"	19592	1247	341	880	26	0
US21005	"Anderson County, Kentucky"	20975	451	288	118	45	0
US21007	"Ballard County, Kentucky"	7611	303	66	189	20	28
US21009	"Barren County, Kentucky"	41070	1786	934	707	145	0
US21011	"Bath County, Kentucky"	11525	506	256	194	56	0
US21013	"Bell County, Kentucky"	25188	117	107	10	0	0
US21015	"Boone County, Kentucky"	122131	8944	3926	2434	1624	960
US21017	"Bourbon County, Kentucky"	18823	1332	1095	83	154	0
US21019	"Boyd County, Kentucky"	44910	835	415	226	117	77
US21021	"Boyle County, Kentucky"	28466	1112	630	106	209	167
US21023	"Bracken County, Kentucky"	7775	161	114	37	10	0
US21025	"Breathitt County, Kentucky"	12162	86	28	24	19	15
US21027	"Breckinridge County, Kentucky"	19020	659	276	357	26	0
US21029	"Bullitt County, Kentucky"	76087	1914	1026	618	144	126
US21031	"Butler County, Kentucky"	12020	530	323	106	12	89
US21033	"Caldwell County, Kentucky"	12007	271	206	63	2	0
US21035	"Calloway County, Kentucky"	36859	1760	698	234	419	409
US21037	"Campbell County, Kentucky"	87473	3221	1506	1086	522	107
US21039	"Carlisle County, Kentucky"	4470	65	23	26	14	2
US21041	"Carroll County, Kentucky"	9879	564	464	62	32	6
US21043	"Carter County, Kentucky"	25500	271	174	66	4	27
US21045	"Casey County, Kentucky"	14945	613	172	417	4	20
US21047	"Christian County, Kentucky"	64742	6348	3178	2165	694	311
US21049	"Clark County, Kentucky"	33732	998	685	256	57	0
US21051	"Clay County, Kentucky"	19152	286	265	21	0	0
US21053	"Clinton County, Kentucky"	9528	292	229	63	0	0
US21055	"Crittenden County, Kentucky"	8513	544	85	459	0	0
US21057	"Cumberland County, Kentucky"	6275	233	76	157	0	0
US21059	"Daviess County, Kentucky"	93701	4468	2402	883	988	195
US21061	"Edmonson County, Kentucky"	11585	150	67	46	10	27
US21063	"Elliott County, Kentucky"	7160	161	49	71	0	41
US21065	"Estill County, Kentucky"	13438	32	30	0	0	2
US21067	"Fayette County, Kentucky"	301038	39312	18844	8472	7088	4908
US21069	"Fleming County, Kentucky"	13458	521	110	410	1	0
US21071	"Floyd County, Kentucky"	34280	315	83	121	84	27
US21073	"Franklin County, Kentucky"	47631	2819	1455	892	288	184
US21075	"Fulton County, Kentucky"	5737	119	20	72	10	17
US21077	"Gallatin County, Kentucky"	8167	331	315	0	13	3
US21079	"Garrard County, Kentucky"	16456	505	321	143	41	0
US21081	"Grant County, Kentucky"	23186	638	605	22	1	10
US21083	"Graves County, Kentucky"	35030	2220	1781	225	116	98
US21085	"Grayson County, Kentucky"	24616	406	228	147	25	6
US21087	"Green County, Kentucky"	10391	142	96	32	14	0
US21089	"Greenup County, Kentucky"	33658	379	195	104	60	20
US21091	"Hancock County, Kentucky"	8146	217	92	83	42	0
US21093	"Hardin County, Kentucky"	101282	6643	3068	2068	1358	149
US21095	"Harlan County, Kentucky"	25019	427	234	94	78	21
US21097	"Harrison County, Kentucky"	17583	494	225	249	20	0
US21099	"Hart County, Kentucky"	17380	1157	83	1003	71	0
US21101	"Henderson County, Kentucky"	43093	1076	732	195	132	17
US21103	"Henry County, Kentucky"	14968	543	395	129	7	12
US21105	"Hickman County, Kentucky"	4312	89	30	3	15	41
US21107	"Hopkins County, Kentucky"	42661	690	345	125	185	35
US21109	"Jackson County, Kentucky"	12555	150	55	95	0	0
US21111	"Jefferson County, Kentucky"	718882	69020	30110	16870	11833	10207
US21113	"Jessamine County, Kentucky"	49607	3024	1306	1090	341	287
US21115	"Johnson County, Kentucky"	21265	470	112	105	219	34
US21117	"Kenton County, Kentucky"	154578	7005	3800	1695	1153	357
US21119	"Knott County, Kentucky"	14443	167	80	38	27	22
US21121	"Knox County, Kentucky"	29356	352	122	132	97	1
US21123	"Larue County, Kentucky"	13440	416	361	40	15	0
US21125	"Laurel County, Kentucky"	56675	899	462	306	109	22
US21127	"Lawrence County, Kentucky"	14628	122	41	25	56	0
US21129	"Lee County, Kentucky"	6512	93	82	11	0	0
US21131	"Leslie County, Kentucky"	9706	91	30	49	12	0
US21133	"Letcher County, Kentucky"	21005	240	148	55	37	0
US21135	"Lewis County, Kentucky"	12614	203	73	100	30	0
US21137	"Lincoln County, Kentucky"	22851	770	187	573	5	5
US21139	"Livingston County, Kentucky"	8718	151	138	13	0	0
US21141	"Logan County, Kentucky"	25178	776	404	309	62	1
US21143	"Lyon County, Kentucky"	7998	214	84	70	12	48
US21145	"McCracken County, Kentucky"	61219	1642	835	335	390	82
US21147	"McCreary County, Kentucky"	16380	526	342	127	20	37
US21149	"McLean County, Kentucky"	8770	61	53	3	5	0
US21151	"Madison County, Kentucky"	85656	3589	1866	672	604	447
US21153	"Magoffin County, Kentucky"	11714	20	3	4	13	0
US21155	"Marion County, Kentucky"	18096	502	355	117	30	0
US21157	"Marshall County, Kentucky"	29455	429	263	49	117	0
US21159	"Martin County, Kentucky"	11090	345	231	71	11	32
US21161	"Mason County, Kentucky"	16088	928	476	299	153	0
US21163	"Meade County, Kentucky"	26675	628	312	195	121	0
US21165	"Menifee County, Kentucky"	6080	97	75	2	20	0
US21167	"Mercer County, Kentucky"	20332	934	574	303	48	9
US21169	"Metcalfe County, Kentucky"	9395	244	78	126	40	0
US21171	"Monroe County, Kentucky"	9949	460	378	68	0	14
US21173	"Montgomery County, Kentucky"	26033	503	417	71	15	0
US21175	"Morgan County, Kentucky"	12652	219	94	23	81	21
US21177	"Muhlenberg County, Kentucky"	29300	912	624	110	178	0
US21179	"Nelson County, Kentucky"	42782	914	629	120	153	12
US21181	"Nicholas County, Kentucky"	6685	374	57	317	0	0
US21183	"Ohio County, Kentucky"	22666	548	476	24	43	5
US21185	"Oldham County, Kentucky"	62602	2887	1591	819	380	97
US21187	"Owen County, Kentucky"	10246	90	45	17	28	0
US21189	"Owsley County, Kentucky"	4087	32	32	0	0	0
US21191	"Pendleton County, Kentucky"	13682	247	198	15	9	25
US21193	"Perry County, Kentucky"	24944	641	335	71	224	11
US21195	"Pike County, Kentucky"	56233	569	126	256	179	8
US21197	"Powell County, Kentucky"	11500	171	106	17	22	26
US21199	"Pulaski County, Kentucky"	60531	1738	1112	399	227	0
US21201	"Robertson County, Kentucky"	1972	70	4	66	0	0
US21203	"Rockcastle County, Kentucky"	15884	170	122	41	0	7
US21205	"Rowan County, Kentucky"	23172	1077	568	348	58	103
US21207	"Russell County, Kentucky"	16731	566	330	145	88	3
US21209	"Scott County, Kentucky"	51073	2578	1746	349	447	36
US21211	"Shelby County, Kentucky"	44194	4050	3358	422	212	58
US21213	"Simpson County, Kentucky"	17011	462	233	131	89	9
US21215	"Spencer County, Kentucky"	17651	293	230	52	11	0
US21217	"Taylor County, Kentucky"	23946	439	160	155	119	5
US21219	"Todd County, Kentucky"	11467	1313	369	944	0	0
US21221	"Trigg County, Kentucky"	13578	818	363	393	54	8
US21223	"Trimble County, Kentucky"	8111	93	78	15	0	0
US21225	"Union County, Kentucky"	13840	363	163	85	57	58
US21227	"Warren County, Kentucky"	120378	14387	4732	4070	3679	1906
US21229	"Washington County, Kentucky"	11297	627	410	182	35	0
US21231	"Wayne County, Kentucky"	19350	558	338	205	15	0
US21233	"Webster County, Kentucky"	12284	699	569	64	66	0
US21235	"Whitley County, Kentucky"	33414	595	295	219	81	0
US21237	"Wolfe County, Kentucky"	6752	155	141	0	14	0
US21239	"Woodford County, Kentucky"	24847	1599	1378	132	88	1
US22001	"Acadia Parish, Louisiana"	58084	5802	887	4787	26	102
US22003	"Allen Parish, Louisiana"	23993	2385	1349	819	114	103
US22005	"Ascension Parish, Louisiana"	114376	6963	4929	1019	845	170
US22007	"Assumption Parish, Louisiana"	21259	2677	439	2222	16	0
US22009	"Avoyelles Parish, Louisiana"	37956	4108	371	3457	208	72
US22011	"Beauregard Parish, Louisiana"	34558	1866	1022	671	152	21
US22013	"Bienville Parish, Louisiana"	12732	187	83	81	2	21
US22015	"Bossier Parish, Louisiana"	117718	7095	4474	736	1380	505
US22017	"Caddo Parish, Louisiana"	229029	7864	3892	1991	1662	319
US22019	"Calcasieu Parish, Louisiana"	187275	12651	5221	5645	1474	311
US22021	"Caldwell Parish, Louisiana"	9369	263	221	0	42	0
US22023	"Cameron Parish, Louisiana"	6522	702	444	233	25	0
US22025	"Catahoula Parish, Louisiana"	9192	105	96	9	0	0
US22027	"Claiborne Parish, Louisiana"	15188	144	64	58	22	0
US22029	"Concordia Parish, Louisiana"	18534	518	352	132	0	34
US22031	"De Soto Parish, Louisiana"	25524	526	376	149	0	1
US22033	"East Baton Rouge Parish, Louisiana"	414516	34604	15381	6241	10412	2570
US22035	"East Carroll Parish, Louisiana"	6622	154	98	41	0	15
US22037	"East Feliciana Parish, Louisiana"	18444	512	199	238	53	22
US22039	"Evangeline Parish, Louisiana"	31315	5919	829	4872	63	155
US22041	"Franklin Parish, Louisiana"	18837	185	56	101	19	9
US22043	"Grant Parish, Louisiana"	21080	1363	981	267	34	81
US22045	"Iberia Parish, Louisiana"	66666	6874	2008	3317	1398	151
US22047	"Iberville Parish, Louisiana"	30989	1120	436	629	17	38
US22049	"Jackson Parish, Louisiana"	14996	369	216	99	32	22
US22051	"Jefferson Parish, Louisiana"	406628	72487	47324	8186	12368	4609
US22053	"Jefferson Davis Parish, Louisiana"	29215	2172	300	1672	139	61
US22055	"Lafayette Parish, Louisiana"	225304	22737	6707	11931	3193	906
US22057	"Lafourche Parish, Louisiana"	91799	12799	3081	9000	676	42
US22059	"LaSalle Parish, Louisiana"	14057	271	203	59	0	9
US22061	"Lincoln Parish, Louisiana"	44537	2165	870	554	455	286
US22063	"Livingston Parish, Louisiana"	129706	5516	3596	1248	449	223
US22065	"Madison Parish, Louisiana"	10485	328	210	98	13	7
US22067	"Morehouse Parish, Louisiana"	23879	248	142	38	68	0
US22069	"Natchitoches Parish, Louisiana"	36282	824	356	187	86	195
US22071	"Orleans Parish, Louisiana"	367733	30653	14955	6328	8118	1252
US22073	"Ouachita Parish, Louisiana"	144686	4306	2224	705	937	440
US22075	"Plaquemines Parish, Louisiana"	21751	2269	890	581	741	57
US22077	"Pointe Coupee Parish, Louisiana"	20711	835	338	461	36	0
US22079	"Rapides Parish, Louisiana"	122077	6370	3102	1765	975	528
US22081	"Red River Parish, Louisiana"	8019	76	50	26	0	0
US22083	"Richland Parish, Louisiana"	19098	516	280	86	78	72
US22085	"Sabine Parish, Louisiana"	22532	593	319	198	68	8
US22087	"St. Bernard Parish, Louisiana"	42859	3974	2342	665	681	286
US22089	"St. Charles Parish, Louisiana"	49519	3496	2108	848	394	146
US22091	"St. Helena Parish, Louisiana"	9742	358	256	76	26	0
US22093	"St. James Parish, Louisiana"	20040	497	263	207	18	9
US22095	"St. John the Baptist Parish, Louisiana"	40401	2767	2020	605	100	42
US22097	"St. Landry Parish, Louisiana"	77025	6179	891	5130	29	129
US22099	"St. Martin Parish, Louisiana"	50039	8198	938	6993	258	9
US22101	"St. Mary Parish, Louisiana"	47456	4019	2256	1072	596	95
US22103	"St. Tammany Parish, Louisiana"	239842	15814	9568	3455	2173	618
US22105	"Tangipahoa Parish, Louisiana"	122550	5306	3518	995	631	162
US22107	"Tensas Parish, Louisiana"	4260	111	79	18	5	9
US22109	"Terrebonne Parish, Louisiana"	104146	10179	3959	4522	1429	269
US22111	"Union Parish, Louisiana"	21068	540	409	98	33	0
US22113	"Vermilion Parish, Louisiana"	55798	8735	1224	6348	1134	29
US22115	"Vernon Parish, Louisiana"	45510	3686	1854	715	842	275
US22117	"Washington Parish, Louisiana"	43418	1875	918	801	119	37
US22119	"Webster Parish, Louisiana"	36874	745	412	266	57	10
US22121	"West Baton Rouge Parish, Louisiana"	24332	788	515	193	44	36
US22123	"West Carroll Parish, Louisiana"	10440	489	403	62	0	24
US22125	"West Feliciana Parish, Louisiana"	14793	482	233	156	86	7
US22127	"Winn Parish, Louisiana"	13542	237	183	47	0	7
US23001	"Androscoggin County, Maine"	101203	10486	1056	7497	548	1385
US23003	"Aroostook County, Maine"	64453	9672	444	8793	223	212
US23005	"Cumberland County, Maine"	278267	20191	3238	8891	3612	4450
US23007	"Franklin County, Maine"	28584	562	141	320	77	24
US23009	"Hancock County, Maine"	52177	1771	403	796	517	55
US23011	"Kennebec County, Maine"	115840	5081	909	2897	972	303
US23013	"Knox County, Maine"	38001	1231	377	622	179	53
US23015	"Lincoln County, Maine"	32835	891	169	528	134	60
US23017	"Oxford County, Maine"	55002	1576	309	1043	137	87
US23019	"Penobscot County, Maine"	144684	6193	1133	3206	1003	851
US23021	"Piscataquis County, Maine"	16116	542	169	220	136	17
US23023	"Sagadahoc County, Maine"	33658	1537	269	921	324	23
US23025	"Somerset County, Maine"	48167	1482	328	990	132	32
US23027	"Waldo County, Maine"	37744	1476	327	992	132	25
US23029	"Washington County, Maine"	29996	1807	461	470	98	778
US23031	"York County, Maine"	194730	12814	1771	8842	1356	845
US24001	"Allegany County, Maryland"	68232	2728	1237	744	466	281
US24003	"Anne Arundel County, Maryland"	536096	61176	29650	13612	12582	5332
US24005	"Baltimore County, Maryland"	779029	115514	34496	37413	22548	21057
US24009	"Calvert County, Maryland"	86675	3681	1521	1402	662	96
US24011	"Caroline County, Maryland"	31040	2571	1897	419	122	133
US24013	"Carroll County, Maryland"	158772	7976	3022	3346	1422	186
US24015	"Cecil County, Maryland"	96814	5338	2838	1502	917	81
US24017	"Charles County, Maryland"	149861	12267	5327	2827	2777	1336
US24019	"Dorchester County, Maryland"	30321	1896	1426	232	200	38
US24021	"Frederick County, Maryland"	236627	34537	17016	8413	6324	2784
US24023	"Garrett County, Maryland"	27812	856	169	584	91	12
US24025	"Harford County, Maryland"	238091	17586	7188	6030	2976	1392
US24027	"Howard County, Maryland"	299917	76208	15050	21544	31873	7741
US24029	"Kent County, Maryland"	18757	1160	648	273	163	76
US24031	"Montgomery County, Maryland"	977513	402283	167430	97520	92132	45201
